amount,date,category,type,description
100.0,02-02-2023,food,expense,brunch
10,2025-08-30,hobby,expense,tennis
20,2025-11-30,food,expense,lunch
300,2025-09-30,salary,income,salary
40,2025-08-10,food,expense,breakfast
30,2025-12-30,food,expense,dinner
10.0,23-10-2023,paypal,income,friend
80.0,2025-10-12,gift,expense,xmas
500.0,2025-10-10,salary,income,october
20.0,2025-10-12,hobby,expense,xbox
350.0,2025-12-10,freelance,income,project
30.0,2025-10-13,utilities,expense,household items
200.0,2025-10-02,food,expense,groceries
200.0,2025-10-29,food,expense,groceries
150.0,2025-10-17,food,expense,groceries
